Country Type,Healthcare Quality,Education Level,Obesity Rate,Smoking Prevalence,Alcohol Consumption,Income Level,Sanitation Facilities,Disease Control,Life Expectancy Category
Developed,Medium,Tertiary,Low,Medium,Medium,High,Excellent,Moderate,Medium
Developing,Low,Primary,High,High,High,Low,Moderate,Excellent,Low
Developing,High,Secondary,Low,Low,Medium,Middle,Excellent,Excellent,Medium
Developing,Low,Secondary,Medium,High,Medium,Low,Excellent,Moderate,Low
Developed,High,Tertiary,Low,High,High,Low,Excellent,Excellent,High
Developed,Low,Tertiary,Low,Low,Low,High,Moderate,Moderate,Medium
Developing,Low,Primary,Low,Low,Low,Low,Excellent,Poor,Low
Developing,Low,Primary,Low,Medium,Medium,Low,Poor,Moderate,Medium
Developing,Low,Secondary,Low,Low,Medium,Middle,Poor,Excellent,High
Developed,High,Tertiary,High,High,Medium,Middle,Poor,Excellent,Low
Developing,Medium,Primary,Low,Low,Low,Low,Excellent,Excellent,Low
Developing,Medium,Primary,High,High,Medium,High,Poor,Moderate,Medium
Developing,Low,Primary,Low,Low,Low,High,Moderate,Moderate,High
Developed,Medium,Tertiary,Low,Medium,Low,Middle,Excellent,Excellent,High
Developed,High,Tertiary,Low,Medium,High,Low,Excellent,Excellent,Medium
Developed,High,Secondary,Medium,Low,Low,Low,Moderate,Excellent,High
Developing,Low,Primary,Low,High,High,Middle,Excellent,Moderate,High
Developed,High,Primary,Low,Low,Low,Low,Excellent,Excellent,Low
Developed,Medium,Primary,Low,High,High,Low,Excellent,Excellent,Medium
Developed,Low,Secondary,High,High,Low,High,Excellent,Excellent,Low
Developed,High,Tertiary,Low,High,Low,Low,Excellent,Poor,High
Developing,Medium,Secondary,Medium,Low,Low,High,Excellent,Excellent,High
Developing,High,Secondary,Medium,High,High,Low,Poor,Moderate,Medium
Developed,High,Primary,Low,Medium,Medium,Low,Moderate,Excellent,Low
Developing,Low,Secondary,Medium,Low,Low,Low,Poor,Excellent,High
Developed,Medium,Secondary,Medium,Medium,Low,Low,Moderate,Poor,High
Developing,Low,Tertiary,Low,High,Medium,High,Poor,Moderate,Medium
Developed,Medium,Secondary,Medium,Low,Low,Middle,Moderate,Poor,High
Developed,Medium,Tertiary,Medium,Medium,Medium,Middle,Moderate,Moderate,Low
Developing,Low,Secondary,Medium,Low,Low,Middle,Poor,Poor,High
Developing,High,Primary,Medium,High,High,Low,Excellent,Excellent,High
Developed,High,Primary,High,Low,High,Low,Moderate,Poor,High
Developing,Low,Primary,Medium,High,High,High,Moderate,Excellent,High
Developing,Low,Secondary,Medium,Low,High,Low,Excellent,Moderate,High
Developed,Low,Secondary,Low,Medium,High,Middle,Moderate,Excellent,High
Developed,Low,Tertiary,Medium,Low,Medium,Low,Poor,Poor,Medium
Developing,Medium,Secondary,Medium,High,Low,High,Moderate,Poor,Low
Developing,High,Secondary,Medium,High,High,High,Excellent,Excellent,Low
Developed,Low,Tertiary,Low,Low,Medium,High,Moderate,Moderate,Medium
Developed,Low,Tertiary,High,Low,High,Middle,Excellent,Excellent,High
Developed,High,Secondary,Low,Low,Low,High,Excellent,Moderate,Low
Developed,High,Primary,Low,High,Low,High,Moderate,Excellent,High
Developing,Medium,Primary,High,Medium,High,High,Moderate,Moderate,Low
Developing,High,Primary,Low,High,Medium,High,Excellent,Excellent,High
Developed,Medium,Tertiary,Medium,Low,Low,High,Poor,Moderate,Medium
Developing,Medium,Secondary,Medium,High,Medium,Middle,Poor,Moderate,Medium
Developed,Medium,Secondary,Medium,High,Low,Middle,Excellent,Poor,Low
Developing,Low,Primary,High,Medium,High,Middle,Poor,Moderate,Low
Developed,High,Primary,Low,Low,Medium,Middle,Excellent,Poor,Medium
Developing,Low,Secondary,Low,Medium,Medium,High,Moderate,Moderate,High
Developing,High,Primary,High,Low,Medium,High,Moderate,Excellent,High
Developing,High,Tertiary,Low,Medium,High,Low,Excellent,Excellent,Medium
Developing,High,Secondary,Medium,Medium,Medium,Low,Excellent,Excellent,High
Developed,Low,Secondary,High,Medium,Low,Middle,Poor,Moderate,Low
Developed,Medium,Tertiary,Medium,Medium,Low,High,Excellent,Moderate,High
Developing,High,Tertiary,High,Low,Low,Middle,Moderate,Excellent,Medium
Developed,Low,Primary,Medium,Medium,Medium,Middle,Poor,Poor,High
Developed,Low,Secondary,Low,Low,Low,Middle,Poor,Poor,High
Developed,Low,Primary,Low,Low,High,Low,Excellent,Moderate,High
Developed,High,Primary,Medium,Medium,High,Low,Poor,Poor,Medium
